=== Reaper CPU monitor Sat Jul  4 10:08:04 CDT 2026 ===
[10:11:22] reaper=0.0 104160 | webcontent=cpu=0.0% rss=202656KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:23] reaper=0.0 104112 | webcontent=cpu=0.0% rss=202592KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:24] reaper=0.0 104112 | webcontent=cpu=0.0% rss=203184KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:26] reaper=0.0 104064 | webcontent=cpu=0.0% rss=203168KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:27] reaper=0.0 104064 | webcontent=cpu=0.0% rss=203088KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:28] reaper=0.0 104064 | webcontent=cpu=36.9% rss=311344KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:29] reaper=6.4 103024 | webcontent=cpu=17.5% rss=312880KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:30] reaper=0.3 103696 | webcontent=cpu=0.7% rss=313552KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:32] reaper=0.0 103696 | webcontent=cpu=0.0% rss=313552KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:33] reaper=0.0 103696 | webcontent=cpu=0.0% rss=313552KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:34] reaper=0.0 103696 | webcontent=cpu=0.0% rss=313552KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:35] reaper=0.0 103600 | webcontent=cpu=0.0% rss=313552KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:36] reaper=0.0 103600 | webcontent=cpu=0.0% rss=313520KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:37] reaper=4.3 103520 | webcontent=cpu=15.5% rss=316080KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:39] reaper=5.0 104880 | webcontent=cpu=15.7% rss=318400KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:11:40] reaper=not running
[10:11:41] reaper=not running
[10:11:42] reaper=not running
[10:11:43] reaper=not running
[10:11:44] reaper=not running
[10:11:45] reaper=not running
[10:11:46] reaper=not running
[10:11:47] reaper=not running
[10:11:48] reaper=not running
[10:11:49] reaper=not running
[10:11:50] reaper=not running
[10:11:51] reaper=not running
[10:11:52] reaper=not running
[10:11:53] reaper=not running
[10:11:54] reaper=not running
[10:11:56] reaper=not running
[10:11:57] reaper=not running
[10:11:58] reaper=not running
[10:11:59] reaper=not running
[10:12:00] reaper=not running
[10:12:01] reaper=not running
[10:12:02] reaper=not running
[10:12:03] reaper=not running
[10:12:04] reaper=not running
[10:12:05] reaper=not running
[10:12:06] reaper=not running
[10:12:07] reaper=not running
[10:12:08] reaper=not running
[10:12:09] reaper=not running
[10:12:10] reaper=not running
[10:12:11] reaper=not running
[10:12:12] reaper=not running
[10:12:13] reaper=not running
[10:12:14] reaper=not running
[10:12:15] reaper=not running
[10:12:16] reaper=not running
[10:12:18] reaper=not running
[10:12:19] reaper=not running
[10:12:20] reaper=not running
[10:12:21] reaper=not running
[10:12:22] reaper=not running
[10:12:23] reaper=not running
[10:12:24] reaper=not running
[10:12:25] reaper=not running
[10:12:26] reaper=not running
[10:12:27] reaper=not running
[10:12:28] reaper=not running
[10:12:29] reaper=not running
[10:12:30] reaper=not running
[10:12:31] reaper=not running
[10:12:32] reaper=not running
[10:12:33] reaper=not running
[10:12:34] reaper=not running
[10:12:35] reaper=not running
[10:12:36] reaper=not running
[10:12:37] reaper=not running
[10:12:39] reaper=not running
[10:12:40] reaper=not running
[10:12:41] reaper=not running
[10:12:42] reaper=not running
[10:12:43] reaper=not running
[10:12:44] reaper=not running
[10:12:45] reaper=not running
[10:12:46] reaper=not running
[10:12:47] reaper=not running
[10:12:48] reaper=not running
[10:12:49] reaper=not running
[10:12:50] reaper=not running
[10:12:51] reaper=not running
[10:12:52] reaper=not running
[10:12:53] reaper=not running
[10:12:54] reaper=not running
[10:12:55] reaper=not running
[10:12:56] reaper=not running
[10:12:58] reaper=not running
[10:12:59] reaper=not running
[10:13:00] reaper=not running
